problem_id,run_id,reference_status,generated_status,reference_objective,generated_objective,relative_error,primary_label,secondary_labels,patch_type,patch_text,workflow_status,analysis_cycles_used,patch_refinement_attempts_used,expert_final_primary_label,expert_review_confidence,ref_n_sets,ref_n_params,ref_n_vars,ref_n_objectives,ref_n_constraints_decl,gen_n_sets,gen_n_params,gen_n_vars,gen_n_objectives,gen_n_constraints_decl,diff_n_sets,diff_n_params,diff_n_vars,diff_n_objectives,diff_n_constraints_decl,human_validation
14,run_5,optimal,optimal,350.45,348,0.006991012,MODEL-COMPONENT-MISMATCH,DATA-PARAM-MAP,multiple,"param N > 0, integer;
param K integer > 0;
param Target symbolic in CURRENCIES;
set CURRENCIES := 1..N;
param start {CURRENCIES} >= 0;
param limit {CURRENCIES} >= 0;
param rate {CURRENCIES, CURRENCIES} >= 0;

var Hold {CURRENCIES, 0..K} >= 0;
var Conv {CURRENCIES, CURRENCIES, 0..K-1} >= 0;

maximize FinalAmount:
    Hold[Target, K];

subject to Init {i in CURRENCIES}:
    Hold[i,0] = start[i];

subject to NoSelf {i in CURRENCIES, k in 0..K-1}:
    Conv[i,i,k] = 0;

subject to Available {i in CURRENCIES, k in 0..K-1}:
    sum {j in CURRENCIES} Conv[i,j,k] <= Hold[i,k];

subject to Balance {i in CURRENCIES, k in 0..K-1}:
    Hold[i,k+1] =
        Hold[i,k]
      - sum {j in CURRENCIES} Conv[i,j,k]
      + sum {h in CURRENCIES} Conv[h,i,k] * rate[i,h];

subject to DailyLimit {i in CURRENCIES}:
    sum {k in 0..K-1, j in CURRENCIES} Conv[i,j,k] <= limit[i];",completed,4,2,MODEL-COMPONENT-MISMATCH,1,1,5,2,1,5,1,4,2,1,3,0,-1,0,0,-2,FALSE
20,run_1,optimal,optimal,93715.17857,80919.8797,0.136533901,CON-RHS,DATA-PARAM-MAP;CON-INDEX-RANGE,multiple,"In model: replace `param TotalHoursPerMonth := WorkHours * WorkDaysPerMonth;` with `param Shifts default 2; param TotalHoursPerMonth := WorkHours * WorkDaysPerMonth * Shifts;` and change indexing on `Storage_Capacity` to `{j in PRODUCT, t in 1..I-1}`. In data: change `param KeepQuantity := 100;` to `param KeepQuantity := 50;`.",completed,1,1,CON-RHS,1,4,16,3,1,6,4,14,3,1,6,0,-2,0,0,0,FALSE
20,run_2,optimal,optimal,93715.17857,80919.8797,0.136533901,DATA-PARAM-MAP,CON-RHS,multiple,"In the model file, add `param Shifts >= 1 integer default 2;` and update the `AvailableHours` definition to `(MachinesPerType[m] - Maintain[t, m]) * WorkHours * WorkDaysPerMonth * Shifts;`. In the data file, change `param KeepQuantity := 100;` to `param KeepQuantity := 50;`.",completed,1,1,DATA-PARAM-MAP,1,4,16,3,1,6,4,12,3,1,6,0,-4,0,0,0,FALSE
20,run_3,optimal,optimal,93715.17857,80919.8797,0.136533901,CON-RHS,DATA-PARAM-MAP;CON-INDEX-RANGE,multiple,"In the model file, replace the `Machine_Capacity` constraint with: `subject to Machine_Capacity {m in MACH, t in MONTH}: sum {p in PRODUCT} (Time[p,m] * Produce[p,t]) <= (MachinesPerType[m] - Maintain[t,m]) * WorkDaysPerMonth * WorkHours * 2;`. In the data file, change `param KeepQuantity := 100;` to `param KeepQuantity := 50;`.",completed,2,1,CON-RHS,1,4,16,3,1,6,4,13,3,1,6,0,-3,0,0,0,FALSE
20,run_4,optimal,optimal,93715.17857,80919.8797,0.136533901,CON-RHS,DATA-PARAM-MAP;CON-INDEX-RANGE,multiple,"In the data file, change `param KeepQuantity := 100;` to `param KeepQuantity := 50;`. In the model file, replace the `Machine_Capacity` constraint with `subject to Machine_Capacity {j in MACH, i in MONTH}: (sum {k in PRODUCT} (Time[k, j] * Produce[k, i])) <= (MachinesPerType[j] - Maintain[i, j]) * HoursPerMonth * 2;` and the `Storage_Capacity` constraint with `subject to Storage_Capacity {k in PRODUCT, i in 1..I-1}: Store[k, i] <= MaxStorage;`.",completed,2,1,CON-RHS,1,4,16,3,1,6,4,14,3,1,6,0,-2,0,0,0,FALSE
20,run_5,optimal,optimal,93715.17857,80919.8797,0.136533901,CON-RHS,DATA-PARAM-MAP;CON-INDEX-RANGE,multiple,"In the model file, add `param Shifts >= 1 integer default 2;` and update the `MachineCapacity` constraint RHS to `... <= (MachinesPerType[m] - Maintain[i, m]) * WorkHours * WorkDaysPerMonth * Shifts;`. In the data file, change `param KeepQuantity := 100;` to `param KeepQuantity := 50;`.",completed,1,1,CON-RHS,1,4,16,3,1,6,4,14,3,1,6,0,-2,0,0,0,FALSE
21,run_1,optimal,optimal,108680,108680,0,CON-INIT-FINAL,DATA-PARAM-MAP,multiple,"/* In the generated model, add a parameter for initial inventory and use it to set the initial stock. */

# Add to PARAMETERS section:
param InitInv {PRODUCT} >= 0 default 0;

# Replace the Initial_Stock constraint:
subject to Initial_Stock {k in PRODUCT}:
  Store[k,0] = InitInv[k];",completed,1,1,CON-INIT-FINAL,1,3,13,4,1,7,4,11,4,1,8,1,-2,0,0,1,FALSE
21,run_2,optimal,optimal,108680,108680,0,VAR-DOMAIN,CON-COEFF;CON-FAMILY-MISSING,multiple,"- var Maint {m in MACHINE_TYPES, t in MONTHS} binary;
+ var Maint {m in MACHINE_TYPES, t in MONTHS} integer >= 0;

- subject to Machine_Capacity {m in MACHINE_TYPES, t in MONTHS}:
-   sum {p in PRODUCTS} (time_req[p, m] * Produce[p, t])
-   <= capacity_per_month_per_machine * machines_per_type[m] * (1 - Maint[m, t]);
+ subject to Machine_Capacity {m in MACHINE_TYPES, t in MONTHS}:
+   sum {p in PRODUCTS} (time_req[p, m] * Produce[p, t]) + capacity_per_month_per_machine * Maint[m,t]
+   <= capacity_per_month_per_machine * machines_per_type[m];

+ subject to Maint_Bounds {m in MACHINE_TYPES, t in MONTHS}:
+   Maint[m,t] <= machines_per_type[m];",completed,1,1,VAR-DOMAIN,1,3,13,4,1,7,4,14,4,1,6,1,1,0,0,-1,FALSE
21,run_3,optimal,optimal,108680,108680,0,CON-RHS,VAR-DOMAIN;DATA-DEFAULT-VALUE;DATA-PARAM-MAP,multiple,"Replace `var Maint {m in MACHINES, i in MONTHS} binary;` with `var Maint {m in MACHINES, i in MONTHS} integer >= 0, <= MachinesPerType[m];`. In the `Machine_Capacity` constraint, replace the expression `<= TotalMonthlyHours * MachinesPerType[m] * (1 - Maint[m, i]);` with `+ TotalMonthlyHours * Maint[m, i] <= TotalMonthlyHours * MachinesPerType[m];`.",completed,1,1,CON-RHS,1,3,13,4,1,7,4,12,4,1,7,1,-1,0,0,0,FALSE
21,run_4,optimal,optimal,108680,108680,0,VAR-DOMAIN,VAR-FIXED;DATA-PARAM-MAP;CON-FAMILY-MISSING,multiple,"1. Change the maintenance variable from binary to integer: `var IsMaint {MACHINES, MONTHS} integer >= 0;`. 2. Add a bound constraint: `subject to DowntimeBounds {m in MACHINES, t in MONTHS}: IsMaint[m,t] <= MachinesPerType[m];`. 3. Correct the data for machine 1's downtime: in the .dat file, change `param Downtime := 1 1` to `param Downtime := 1 0`. 4. Remove the hardcoded initial inventory constraint and parameterize it as in the reference model.",completed,1,2,VAR-DOMAIN,1,3,13,4,1,7,3,11,4,1,7,0,-2,0,0,0,FALSE
21,run_5,optimal,optimal,108680,108680,0,CON-INIT-FINAL,DATA-PARAM-MAP,multiple,"In the generated model, add the parameter `param InitInv {PRODUCTS} >= 0 default 0;` and change the `Initial_Inventory` constraint to `subject to Initial_Inventory {p in PRODUCTS}: Store[p, 0] = InitInv[p];`.",completed,1,1,CON-INIT-FINAL,1,3,13,4,1,7,4,15,4,1,7,1,2,0,0,0,FALSE
22,run_1,optimal,unknown,841.796875,,,DATA-DIMENSION,VAR-INDEX-SET;CON-FAMILY-MISSING;CON-COEFF;CON-FAMILY-EXTRA;MODEL-MISSING-TERMINATOR;DATA-MISSING-TERMINATOR;MODEL-COMPONENT-MISMATCH,multiple,"1. Change the requirement parameter from `param requirement {MANPOWER, YEARS}` to `param requirement {YEARS, MANPOWER}` and use `requirement[i,k]` in the requirement constraint.
2. Replace the unrestricted three-dimensional retraining variable with the five supported flows: unskilled-to-semi-skilled retraining, semi-skilled-to-skilled retraining, skilled-to-semi-skilled downgrading, skilled-to-unskilled downgrading, and semi-skilled-to-unskilled downgrading.
3. Replace the workforce-balance constraints so current recruits enter with survival coefficients 0.75, 0.80, and 0.90, experienced workers use their proper retention coefficients, and downward transfers enter the destination category with coefficient 0.5.
4. Add the annual cap of 200 on unskilled-to-semi-skilled retraining and the 25% skilled-workforce cap on semi-skilled-to-skilled retraining.
5. Remove the unsupported `Outflow_Limit` constraint family.
6. Restore the missing final semicolons in the model and data files.",completed,1,1,DATA-DIMENSION,1,3,8,10,1,10,3,11,7,1,12,0,3,-3,0,2,TRUE
22,run_2,optimal,unknown,841.796875,,,DATA-DIMENSION,VAR-INDEX-SET;CON-FAMILY-MISSING;CON-COEFF;CON-SENSE;CON-FAMILY-EXTRA,multiple,"1. Transpose the `requirement` table so its rows are manpower categories and its columns are years, consistent with `requirement {CATEGORIES, YEARS}` and `requirement[k,i]`.
2. Replace the unrestricted `Retrain[k_from,k_to,i]` variable with the five supported flows: unskilled-to-semi-skilled retraining, semi-skilled-to-skilled retraining, skilled-to-semi-skilled downgrading, skilled-to-unskilled downgrading, and semi-skilled-to-unskilled downgrading.
3. Replace `Define_Headcount` and `Workforce_Balance` with category-specific current-year balance equations. Apply experienced-worker retention to the prior workforce, first-year retention to current recruits, experienced-worker retention to upward retraining inflows, and 0.5 retention to downward transfers. Subtract current redundancies and outgoing transfers without a retention multiplier.
4. Add the annual limit of 200 on unskilled-to-semi-skilled retraining and the 25% skilled-workforce limit on semi-skilled-to-skilled retraining.
5. Replace the relaxed requirement and overmanning pair with the exact relation `Workers[k,i] - Overmanned[k,i] - 0.5*ShortTime[k,i] = requirement[k,i]`.
6. Remove `Workforce_Outflow_Limit`, which excludes current recruits from same-year outflow and is absent from the reference formulation.",completed,1,1,DATA-DIMENSION,1,3,8,10,1,10,3,11,7,1,10,0,3,-3,0,0,TRUE
22,run_3,optimal,optimal,841.796875,1143333.333,1357.205723,OBJ-TERM-EXTRA,OBJ-COEFF;VAR-MISSING;CON-FAMILY-MISSING;CON-COEFF;CON-FAMILY-EXTRA,multiple,"1. Replace the monetary-cost objective with `minimize Total_Redundancy: sum {i in YEARS, k in SKILLS} Redundant[i,k];`.
2. Add the five supported workforce-flow variables: unskilled-to-semi-skilled retraining, semi-skilled-to-skilled retraining, skilled-to-semi-skilled downgrading, skilled-to-unskilled downgrading, and semi-skilled-to-unskilled downgrading.
3. Replace `Meet_Requirement` and `Workforce_Flow` with category-specific current-year workforce-balance equations. Apply experienced-worker retention to the prior workforce, first-year retention to current recruits, experienced-worker retention to upward retraining inflows, and 0.5 retention to downward transfers. Subtract current redundancies and outgoing transfers directly.
4. Add the annual limit of 200 on unskilled-to-semi-skilled retraining and the 25% skilled-workforce limit on semi-skilled-to-skilled retraining.
5. Use the exact requirement relation `Workforce[i,k] - Overmanned[i,k] - 0.5*ShortTime[i,k] = requirement[i,k]`.
6. Remove `Redundancy_Feasibility`, which is absent from the reference formulation.",completed,1,1,OBJ-TERM-EXTRA,1,3,8,10,1,10,2,12,5,1,7,-1,4,-5,0,-3,TRUE
22,run_4,optimal,optimal,841.796875,3428689500,4073059.381,OBJ-TERM-EXTRA,OBJ-COEFF;DATA-DIMENSION;VAR-EXTRA;VAR-MISSING;CON-FAMILY-MISSING;CON-COEFF;CON-FAMILY-EXTRA,multiple,"1. Replace the monetary-cost objective with `minimize Total_Redundancy: sum {i in YEARS, k in SKILLS} Redundant[i,k];`.
2. Remove the cost parameters, `shortfall_penalty`, and the unsupported `Shortfall` variable.
3. Declare `requirement {YEARS, SKILLS}` and use `requirement[i,k]` so the year-major data table is bound correctly.
4. Add the five supported workforce-flow variables: unskilled-to-semi-skilled retraining, semi-skilled-to-skilled retraining, skilled-to-semi-skilled downgrading, skilled-to-unskilled downgrading, and semi-skilled-to-unskilled downgrading.
5. Replace `Workforce_Transition` and `Manpower_Balance` with category-specific current-year workforce-balance equations. Apply experienced-worker retention to the prior workforce, first-year retention to current recruits, experienced-worker retention to upward retraining inflows, and 0.5 retention to downward transfers. Subtract current redundancies and outgoing transfers directly.
6. Add the annual limit of 200 on unskilled-to-semi-skilled retraining and the 25% skilled-workforce limit on semi-skilled-to-skilled retraining.
7. Use the exact requirement relation `Workforce[i,k] - Overmanned[i,k] - 0.5*ShortTime[i,k] = requirement[i,k]`.
8. Remove `Redundancy_Limit` and `ShortTime_Staff_Limit`, which are absent from the reference formulation.",completed,1,1,OBJ-TERM-EXTRA,1,3,8,10,1,10,2,11,6,1,8,-1,3,-4,0,-2,TRUE
22,run_5,optimal,optimal,841.796875,34273413.38,40713.58852,MODEL-COMPONENT-MISMATCH,DATA-PARAM-MAP,multiple,"The generated model is structurally incorrect and uses scrambled data. The fix requires replacing both the model and data files with their correct reference versions.

Replace the content of the generated `.mod` file with:
```ampl
# model.mod
# Manpower Planning model that matches the notebook formulation

param T integer > 0;
set YEARS  := 1..T;
set YEARS0 := 0..T;

set CATS;  # 1=Unskilled, 2=Semi-skilled, 3=Skilled

param strength    {CATS} >= 0;         # workforce at year 0
param requirement {CATS, YEARS} >= 0;  # required effective manpower

param recruit_cap {CATS} >= 0;         # annual recruitment cap
param shorttime_cap >= 0;              # per category per year
param overman_cap   >= 0;              # total per year

param retrain_u_semi_cap >= 0;         # Unskilled -> Semi cap per year
param retrain_semi_s_frac >= 0, <= 1;  # Semi -> Skilled cap as fraction of Skilled workforce

# Variables
var t {CATS, YEARS0} >= 0;             # total workforce
var u {CATS, YEARS}  >= 0;             # recruits
var w {CATS, YEARS}  >= 0;             # redundancies
var x {CATS, YEARS}  >= 0;             # short-time
var y {CATS, YEARS}  >= 0;             # overmanning

var v_u_semi {YEARS} >= 0;             # Unskilled -> Semi-skilled
var v_semi_s {YEARS} >= 0;             # Semi-skilled -> Skilled

var r_s_semi {YEARS} >= 0;             # Skilled -> Semi-skilled
var r_s_u    {YEARS} >= 0;             # Skilled -> Unskilled
var r_semi_u {YEARS} >= 0;             # Semi-skilled -> Unskilled

# Objective used in the notebook
minimize Total_Redundancy:
  sum {c in CATS, yr in YEARS} w[c,yr];

# Initial strength
subject to InitStrength {c in CATS}:
  t[c,0] = strength[c];

# Recruitment caps
subject to RecruitCap {c in CATS, yr in YEARS}:
  u[c,yr] <= recruit_cap[c];

# Short-time caps
subject to ShortCap {c in CATS, yr in YEARS}:
  x[c,yr] <= shorttime_cap;

# Overmanning cap (total per year)
subject to OvermanCap {yr in YEARS}:
  sum {c in CATS} y[c,yr] <= overman_cap;

# Requirement equality from the notebook
subject to MeetRequirement {c in CATS, yr in YEARS}:
  t[c,yr] - y[c,yr] - 0.5*x[c,yr] = requirement[c,yr];

# Retraining caps from the notebook
subject to RetrainUSemiCap {yr in YEARS}:
  v_u_semi[yr] <= retrain_u_semi_cap;

subject to RetrainSemiSkilledLimit {yr in YEARS}:
  v_semi_s[yr] <= retrain_semi_s_frac * t[3,yr];

# Balance equations (same coefficients as notebook)

# Skilled (3)
subject to BalanceSkilled {yr in YEARS}:
  t[3,yr] = 0.95*t[3,yr-1] + 0.90*u[3,yr] + 0.95*v_semi_s[yr] - r_s_semi[yr] - r_s_u[yr] - w[3,yr];

# Semi-skilled (2)
subject to BalanceSemi {yr in YEARS}:
  t[2,yr] = 0.95*t[2,yr-1] + 0.80*u[2,yr] + 0.95*v_u_semi[yr] - v_semi_s[yr] + 0.50*r_s_semi[yr] - r_semi_u[yr] - w[2,yr];

# Unskilled (1)
subject to BalanceUnskilled {yr in YEARS}:
  t[1,yr] = 0.90*t[1,yr-1] + 0.75*u[1,yr] - v_u_semi[yr] + 0.50*r_s_u[yr] + 0.50*r_semi_u[yr] - w[1,yr];
```

Replace the content of the generated `.dat` file with:
```ampl
# data.dat
set CATS := 1 2 3;
param T := 3;

param strength :=
1 2000
2 1500
3 1000
;

param recruit_cap :=
1 500
2 800
3 500
;

param shorttime_cap := 50;
param overman_cap   := 150;

# Notebook caps
param retrain_u_semi_cap   := 200;
param retrain_semi_s_frac  := 0.25;

# requirement[c,yr]
param requirement :
        1     2     3 :=
1     1000   500     0
2     1400  2000  2500
3     1000  1500  2000
;
```",completed,3,1,MODEL-COMPONENT-MISMATCH,1,3,8,10,1,10,2,12,7,1,8,-1,4,-3,0,-2,FALSE
23,run_1,optimal,optimal,498677.2853,1143333.333,1.292733,VAR-MISSING,OBJ-TERM-MISSING;CON-FAMILY-MISSING;CON-COEFF;CON-INIT-FINAL;CON-FAMILY-EXTRA,multiple,"1. Add the five reference workforce-flow variables: unskilled-to-semi-skilled retraining, semi-skilled-to-skilled retraining, skilled-to-semi-skilled downgrading, skilled-to-unskilled downgrading, and semi-skilled-to-unskilled downgrading.
2. Add the two retraining-cost parameters and their objective terms.
3. Add the annual limit of 200 on unskilled-to-semi-skilled retraining and the 25% skilled-workforce limit on semi-skilled-to-skilled retraining.
4. Index the workforce state from year 0 through year 3 and fix year 0 to the initial strength.
5. Replace the generic transition and requirement equations with category-specific current-year balances. Apply experienced-worker retention to the prior workforce, first-year retention to current recruits, experienced-worker retention to upward retraining inflows, and 0.5 retention to downward transfer inflows. Subtract current redundancies and outgoing transfers directly.
6. Use the exact requirement relation `t[c,yr] - y[c,yr] - 0.5*x[c,yr] = requirement[c,yr]`.
7. Remove `Redundancy_Limit` and `Short_Time_Feasibility`, which are absent from the reference formulation.",completed,1,1,VAR-MISSING,1,3,15,10,1,10,3,11,5,1,8,0,-4,-5,0,-2,TRUE
